name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
302	4 : pointing	0.312162	0.462760	0.447593	0.745203	0.075434	0.145128	0.039572	0.426586	100.000000
303	6 : two	0.323688	0.255759	0.187579	0.693098	0.005179	0.139990	0.395852	0.136122	100.000000
304	2 : fist	0.995636	0.997989	0.390961	0.955150	0.579465	0.920364	0.999960	0.943693	100.000000
305	4 : pointing	0.305789	0.535499	0.340145	0.702681	0.031094	0.139481	0.079062	0.435956	100.000000
306	0 : rest	0.026811	0.005178	0.058041	0.736590	0.000068	0.000260	0.047689	0.003035	100.000000
307	9 : five	0.314038	0.394159	0.704498	0.847490	0.037639	0.367017	0.925331	0.554675	100.000000
308	3 : hook	0.616758	0.657856	0.582477	0.785008	0.115593	0.218700	0.861409	0.670456	100.000000
309	7 : three	0.175874	0.182888	0.332526	0.832600	0.006942	0.081783	0.893329	0.325361	100.000000
310	2 : fist	0.998570	0.987823	0.292795	0.964885	0.695939	0.880864	0.999989	0.965890	100.000000
311	9 : five	0.313747	0.311913	0.538764	0.804694	0.020330	0.242554	0.867624	0.546238	100.000000
312	1 : pinch	0.111243	0.037612	0.084407	0.720604	0.054081	0.318274	0.340264	0.081913	100.000000
313	3 : hook	0.698912	0.620212	0.453290	0.580291	0.072018	0.226522	0.804935	0.583303	100.000000
314	1 : pinch	0.151131	0.043498	0.110820	0.777238	0.102254	0.466409	0.346266	0.100405	100.000000
315	5 : one	0.356050	0.230944	0.242831	0.609586	0.041526	0.061345	0.095089	0.096924	100.000000
316	7 : three	0.121331	0.125960	0.278339	0.841897	0.002359	0.058350	0.941646	0.278651	100.000000
317	6 : two	0.324457	0.302927	0.146044	0.621389	0.005007	0.065052	0.356099	0.144556	100.000000
318	8 : four	0.284997	0.205809	0.391461	0.799034	0.016166	0.151991	0.680646	0.346637	100.000000
319	3 : hook	0.647530	0.616235	0.405263	0.609327	0.050156	0.166970	0.756816	0.579300	100.000000
320	1 : pinch	0.124642	0.020339	0.075775	0.750108	0.151260	0.558317	0.314482	0.097040	100.000000
321	1 : pinch	0.139126	0.061804	0.123765	0.745619	0.078420	0.292226	0.358702	0.090958	100.000000
322	0 : rest	0.066825	0.025468	0.184363	0.725018	0.002560	0.003869	0.132510	0.032069	100.000000
323	3 : hook	0.744585	0.644290	0.452053	0.663301	0.118108	0.169655	0.833198	0.643365	100.000000
324	8 : four	0.259444	0.265518	0.525772	0.863425	0.008252	0.154980	0.817335	0.337904	100.000000
325	7 : three	0.147838	0.123249	0.243209	0.788980	0.006883	0.094838	0.845669	0.326505	100.000000
326	0 : rest	0.022867	0.012827	0.085971	0.732816	0.001128	0.002469	0.054018	0.006386	100.000000
327	5 : one	0.387944	0.210206	0.200495	0.591594	0.041676	0.061074	0.076638	0.083404	100.000000
328	1 : pinch	0.098822	0.037168	0.082527	0.731317	0.049042	0.305700	0.321966	0.071231	100.000000
329	3 : hook	0.694515	0.629895	0.398281	0.600031	0.062297	0.158184	0.820048	0.596840	100.000000
330	1 : pinch	0.142170	0.044875	0.110537	0.753815	0.091883	0.405850	0.364864	0.096824	100.000000
331	1 : pinch	0.092858	0.045624	0.088761	0.683775	0.051943	0.219956	0.346320	0.067715	100.000000
332	5 : one	0.543441	0.268100	0.325144	0.603852	0.090579	0.084166	0.038592	0.103401	100.000000
333	0 : rest	0.062717	0.028947	0.156845	0.730122	0.008389	0.020837	0.183394	0.042161	100.000000
334	6 : two	0.301408	0.142568	0.204545	0.698513	0.012105	0.105163	0.539219	0.254435	100.000000
335	7 : three	0.114782	0.137882	0.235634	0.800157	0.003187	0.068549	0.862562	0.334942	100.000000
336	7 : three	0.179461	0.166347	0.298538	0.795909	0.007482	0.088285	0.868661	0.360888	100.000000
337	5 : one	0.402403	0.238753	0.253337	0.656531	0.060825	0.083562	0.081132	0.114497	100.000000
338	6 : two	0.290891	0.165721	0.188449	0.708854	0.006241	0.150080	0.517720	0.157634	100.000000
339	8 : four	0.132866	0.160505	0.358846	0.889678	0.004055	0.076259	0.942507	0.229288	100.000000
