name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
7120	7 : three	0.060640	0.136248	0.538024	0.209290	0.236254	0.265354	0.821553	0.080965	100.000000
7121	4 : pointing	0.484827	0.649013	0.467639	0.178728	0.206169	0.306047	0.378991	0.484272	100.000000
7122	8 : four	0.522536	0.368621	0.826091	0.453452	0.130484	0.392453	0.788174	0.374355	100.000000
7123	4 : pointing	0.318257	0.665565	0.307625	0.176316	0.101379	0.285928	0.199597	0.327302	100.000000
7124	0 : rest	0.052217	0.327202	0.077241	0.092218	0.033317	0.133130	0.295676	0.015709	100.000000
7125	5 : one	0.278161	0.501334	0.362066	0.219637	0.079417	0.158414	0.190427	0.139887	100.000000
7126	2 : fist	0.803525	0.965575	0.632234	0.045419	0.678778	0.682750	0.870344	0.845687	100.000000
7127	6 : two	0.263627	0.410049	0.582807	0.407550	0.111590	0.141877	0.368363	0.166836	100.000000
7128	7 : three	0.175635	0.163400	0.739488	0.436236	0.224559	0.332307	0.839834	0.140622	100.000000
7129	6 : two	0.393061	0.560512	0.483440	0.312643	0.124480	0.252391	0.376815	0.176952	100.000000
7130	6 : two	0.376685	0.742662	0.371964	0.167059	0.113480	0.334575	0.377151	0.091358	100.000000
7131	8 : four	0.350677	0.372671	0.722399	0.609891	0.118638	0.147331	0.488510	0.218875	100.000000
7132	6 : two	0.226628	0.461375	0.493487	0.235510	0.071837	0.156211	0.291258	0.091757	100.000000
7133	4 : pointing	0.308045	0.799524	0.274506	0.098142	0.111689	0.310437	0.104888	0.326135	100.000000
7134	1 : pinch	0.079621	0.294786	0.147426	0.264774	0.156715	0.249820	0.290716	0.062014	100.000000
7135	8 : four	0.436108	0.344533	0.846096	0.606050	0.087596	0.282931	0.732577	0.173004	100.000000
7136	0 : rest	0.087696	0.387619	0.161808	0.152130	0.067530	0.119080	0.249749	0.051468	100.000000
7137	1 : pinch	0.102239	0.312889	0.131846	0.249460	0.157911	0.335926	0.266805	0.064275	100.000000
7138	1 : pinch	0.125056	0.352430	0.192591	0.241673	0.139701	0.239680	0.269012	0.096717	100.000000
7139	7 : three	0.078595	0.201828	0.433953	0.195910	0.191103	0.209684	0.649574	0.095665	100.000000
7140	9 : five	0.358718	0.425057	0.812677	0.282158	0.183470	0.303339	0.782111	0.618942	100.000000
7141	6 : two	0.331586	0.684052	0.437428	0.177954	0.086165	0.273459	0.359671	0.085497	100.000000
7142	6 : two	0.334671	0.522516	0.510967	0.246020	0.134073	0.236675	0.507589	0.263000	100.000000
7143	1 : pinch	0.071533	0.264385	0.073248	0.168521	0.099574	0.355746	0.301126	0.024635	100.000000
7144	3 : hook	0.497629	0.496311	0.591850	0.226892	0.182640	0.231770	0.612838	0.527924	100.000000
