0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.008,0.043,0.024,0.075,0.450,0.813,0.473,0.820,0.581
0.000,0.008,0.043,0.024,0.076,0.458,0.858,0.501,0.872,0.602
0.000,0.007,0.043,0.024,0.081,0.467,0.886,0.536,0.905,0.619
0.000,0.007,0.047,0.043,0.139,0.476,0.904,0.571,0.928,0.633
0.000,0.008,0.052,0.091,0.228,0.483,0.918,0.605,0.944,0.647
0.000,0.008,0.055,0.167,0.326,0.487,0.928,0.637,0.956,0.660
0.000,0.009,0.062,0.407,0.552,0.488,0.936,0.666,0.964,0.674
0.000,0.009,0.066,0.507,0.636,0.487,0.941,0.692,0.970,0.687
0.000,0.012,0.078,0.764,0.848,0.483,0.946,0.716,0.974,0.701
0.000,0.012,0.088,0.839,0.903,0.476,0.949,0.737,0.978,0.714
0.000,0.014,0.108,0.915,0.959,0.468,0.951,0.755,0.980,0.728
0.000,0.015,0.145,0.944,0.965,0.456,0.952,0.772,0.982,0.741
0.000,0.018,0.266,0.955,0.952,0.443,0.953,0.787,0.984,0.754
0.000,0.021,0.501,0.955,0.966,0.430,0.953,0.800,0.985,0.767
0.000,0.022,0.617,0.949,0.969,0.417,0.954,0.812,0.986,0.778
0.000,0.024,0.668,0.947,0.973,0.406,0.955,0.823,0.987,0.788
0.000,0.027,0.656,0.940,0.966,0.396,0.955,0.834,0.988,0.797
0.000,0.028,0.633,0.933,0.963,0.388,0.956,0.843,0.989,0.806
0.000,0.028,0.617,0.929,0.958,0.381,0.957,0.852,0.990,0.813
0.000,0.028,0.566,0.915,0.942,0.376,0.959,0.860,0.991,0.820
0.000,0.029,0.482,0.879,0.879,0.372,0.960,0.868,0.992,0.826
0.000,0.029,0.386,0.778,0.687,0.369,0.961,0.875,0.993,0.831
0.000,0.029,0.339,0.651,0.581,0.367,0.963,0.881,0.993,0.835
0.000,0.027,0.263,0.408,0.441,0.365,0.964,0.887,0.994,0.840
0.000,0.026,0.208,0.266,0.351,0.364,0.965,0.892,0.994,0.843
0.000,0.023,0.129,0.155,0.243,0.364,0.967,0.897,0.995,0.847
0.000,0.017,0.071,0.100,0.143,0.364,0.968,0.902,0.995,0.850
0.000,0.011,0.053,0.082,0.104,0.364,0.969,0.906,0.996,0.852
0.000,0.007,0.041,0.064,0.085,0.365,0.970,0.910,0.996,0.855
0.000,0.006,0.039,0.061,0.082,0.366,0.971,0.913,0.996,0.857
0.000,0.005,0.037,0.058,0.079,0.366,0.972,0.917,0.997,0.859
0.000,0.004,0.038,0.057,0.080,0.367,0.973,0.920,0.997,0.861
0.000,0.005,0.039,0.058,0.082,0.368,0.974,0.922,0.997,0.862
0.000,0.005,0.049,0.068,0.098,0.369,0.975,0.925,0.997,0.863
0.000,0.005,0.115,0.306,0.123,0.369,0.975,0.927,0.997,0.865
