12,9,12,12,15
12,9,12,12,15
12,9,12,12,15
12,9,12,12,15
12,10,12,12,16
12,10,12,12,16
11,10,13,12,16
11,10,15,12,17
11,10,15,12,17
11,10,19,12,18
11,10,19,12,18
12,10,26,14,21
12,10,36,18,26
12,10,36,18,26
12,12,47,28,36
12,12,47,28,36
14,14,57,42,49
17,18,68,61,63
17,18,68,61,63
27,28,78,78,75
27,28,78,78,75
44,43,84,86,82
44,43,84,86,82
63,59,89,91,88
63,59,89,91,88
69,66,91,93,90
78,79,94,95,93
78,79,94,95,93
84,86,96,97,95
84,86,96,97,95
88,90,98,99,97
88,90,98,99,97
91,94,99,100,98
91,94,99,100,98
92,96,100,100,99
93,97,100,100,100
93,97,100,100,100
94,98,100,100,100
94,98,100,100,100
95,98,100,100,100
95,98,100,100,100
96,99,100,100,100
96,99,100,100,100
98,99,100,100,100
99,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,99,100,100,100
100,98,100,99,100
100,98,100,99,100
100,98,100,99,100
100,98,100,99,100
100,98,100,99,100
100,97,100,99,99
100,97,100,99,99
98,97,100,98,98
98,97,100,98,98
93,96,99,98,97
93,96,99,98,97
81,94,98,97,95
81,94,98,97,95
54,90,96,95,89
35,82,92,90,83
35,82,92,90,83
28,58,83,78,72
28,58,83,78,72
24,40,66,60,59
24,40,66,60,59
22,29,48,43,47
22,29,48,43,47
20,24,37,33,38
20,22,31,28,32
19,20,28,25,29
19,20,28,25,29
18,19,25,24,27
18,19,25,24,27
17,18,23,22,26
17,18,23,22,26
16,17,22,21,24
16,17,22,21,24
16,16,21,20,23
15,16,20,20,22
15,16,20,20,22
15,15,19,19,22
15,15,19,19,22
14,15,18,19,21
14,15,18,19,21
14,14,18,18,20
14,14,18,18,20
14,14,17,18,20
13,14,16,18,19
13,14,16,18,19
13,14,16,17,19
13,14,16,17,19
13,14,16,17,18
13,14,16,17,18
12,13,15,17,18
12,13,15,17,18
12,13,15,16,18
12,13,15,16,18
12,13,15,16,18
12,13,14,16,18
12,13,14,16,18
12,13,14,16,17
12,13,14,16,17
11,13,14,15,17
11,13,14,15,17
11,12,14,15,17
11,12,14,15,17
11,12,14,15,17
11,12,14,15,17
11,12,14,15,17
11,12,14,15,17
11,12,14,15,16
11,12,14,15,16
11,12,13,15,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,12,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,13,14,16
10,11,12,14,16
10,11,12,14,16
10,11,12,14,16
10,11,12,14,16
10,11,12,14,16
9,11,12,13,16
9,11,12,13,16
10,11,12,13,16
10,11,12,13,16
10,11,12,13,16
9,11,12,13,16
9,11,12,13,16
